FFRK1,Frankenberg(Eder) (Est),Est
FFRL,Fronhausen (Lahn),Bf
FFRN,Frickhofen,Bf
FFRS,Freienfels,Tp
FFS,Frankfurt (Main) Süd,Bf
FFS 1,Frankfurt (Main) Süd (Est),Est
FFS A,Frankfurt (Main) Süd Abstellbahnhof,Bft
FFS G,Frankfurt (Main) Süd Gbf,Bft
FFT,Frankfurt (Main) Hbf (tief),Bft
FFTA,Frankfurt (Main) Taunusanlage,Bf
FFTG,Frankfurt (Main) Hgbf,Bf
FFTGB,Frankfurt (Main) Hgbf Berg,Bft
FFTGE,Frankfurt (Main) Hgbf Einfahrgruppe,Bft
FFTGF,Frankfurt (Main) Hgbf Frz,Abzw
FFTGK,Frankfurt (Main) Hgbf Kehrgleis,Bft
FFTGM,Frankfurt (Main) Hgbf Mitte,Bft
FFTGN,Frankfurt (Main) Hgbf Nordseite,Bft
FFTGR,Frankfurt (Main) Hgbf Frwf,Bft
FFTGS,Frankfurt (Main) Hgbf Südseite,Bft
FFTGW,Frankfurt (Main) Hgbf Aufsicht West,Bft
FFU,Fulda,Bf
FFU A,Fulda/Gersfeld,Bft
FFU B,Fulda Bronnzell,Bft
FFU G,Fulda Gbf,Bft
FFU M,Fulda Gbf Mitte,Bft
FFU N,Fulda SFS Nord,Bft
FFU S,Fulda SFS Süd,Bft
FFU U,Fulda Busbf,Bush
FFU V,Fulda Gbf (W 112),Bft
FFU W,Fulda Gbf (W 123),Bft
FFUE,Fürstenhagen (Hess-Nassau),Tp
FFUE,Fürstenhagen (Hess-Nassau),Bf
FFUR,Fürfurt,Hp
FFW,Frankfurt (Main) West,Bf
FFW A,Frankfurt West,Bft
FFW S,Frankfurt (Main) West S-Bahn,Bft
FFWH,Frankfurt-Westhafen,Tpg
FFZ,Fritzlar,Bf
FFZ B,Fritzlar Busbf,Bush
FFZO,Fritzlar Oppermann,Anst
FG,Gießen,Bf
FG A,Gießen Pbf/Rbf Ültg I,Bft
FG B,Gießen Pbf/Rbf Ültg II,Bft
FG H,Gießen Heyligst.,Bft
FG R,Gießen Rbf,Bft
FG S,Gießen Stw Gr,Bft
FG U,Gießen Busbf,Bush
FGA,Garbenteich,Hp
FGAL,Gau Algesheim,Bf
FGAM,Gambach (Hess),Bf
FGAO,Gau Odernheim,Bf
FGAU,Großauheim (Kr Hanau),Hp
FGB,Gießen-Bergwald,Bf
FGB F,Gießen-Bergwald Stw Gvf,Bft
FGBA,Großburschla,Bf
FGBB,Groß Bieberau,Bf
FGBG,Glauberg,Hp
FGBM,Gau Bickelheim,Hp Anst
FGBU,Grebenau (Oberhess),Bf
FGC,Grebenhain-Crainfeld,Bf
FGD,Grebendorf,Tp
FGDE,Goldhausen RWE,Anst
FGDH,Goldhausen,Bf
FGE,Goddelau-Erfelden,Bf
FGE 1,Goddelau-Erfelden (Est),Est
FGED,Gedern,Tp
FGED,Gedern,Bf
FGEF,Gensungen-Felsberg,Bf
FGEL,Gelnhausen,Bf
FGER,Groß Gerau,Bf
